# version=2022
# comment
! line Astrometry of 2025-010D (Falcon 9 second stage; lunar impact 2026-08-05).
! line Converted from find_orb-extended MPC 80-column records published by
! line Project Pluto (Bill Gray). Source pages, retrieved 2026-08-06:
! line   https://www.projectpluto.com/pluto/mpecs/25010d.htm (323 observations)
! line   https://www.projectpluto.com/pluto/mpecs/25010d_new.htm (74 observations)
! line   https://projectpluto.com/temp/a11hsi1.htm (5 observations)
! line These pseudo-MPEC pages are placed in the public domain by Project Pluto.
! line Conversion: fixed-column parse of the 80-column records; times expanded
! line with exact decimal arithmetic to ISO-8601 UTC at the source precision;
! line sexagesimal RA/Dec converted to decimal degrees at 7 decimal places;
! line find_orb decimal-degree coordinates copied digit-for-digit. The seven
! line source designation variants are unified to trkSub 25010D. Magnitudes
! line flagged unusable by find_orb (column 65 'x') are omitted. The astrometric
! line catalog code (column 72) is not carried over. Observatory and observer
! line names are transcribed from the station tables on the same pages.
# observatory
! mpcCode ScT
! name Roberts Creek 1, British Columbia, Canada (private station, non-MPC code)
# observers
! name S. Tilley
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CCD |ScT |2025-01-19T10:58:00Z   |167.0583333|8.0500000  |     |    |NEOCP discovery tracklet A11hSI1
# observatory
! mpcCode W68
! name ATLAS Chile, Rio Hurtado, Chile
# observers
! name L. Denneau
! name R. Siverd
! name J. Tonry
! name H. Weiland
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CCD |Y82 |2026-05-22T00:16:13.0Z |224.91921  |-10.79556  |16.2 |r   |
25010D  |CCD |Y82 |2026-05-22T00:16:28.0Z |224.92007  |-10.79640  |16.2 |r   |
25010D  |CCD |Y82 |2026-05-22T00:16:43.0Z |224.92028  |-10.79745  |15.9 |r   |
25010D  |CCD |Y82 |2026-05-22T00:16:58.0Z |224.92058  |-10.79803  |16.1 |r   |
25010D  |CCD |Y82 |2026-05-22T00:17:13.0Z |224.92104  |-10.79872  |15.8 |r   |
25010D  |CCD |Y82 |2026-05-22T00:17:28.0Z |224.92147  |-10.79936  |15.9 |r   |
25010D  |CCD |Y82 |2026-05-22T00:17:43.0Z |224.92195  |-10.80005  |15.3 |r   |
25010D  |CCD |Y82 |2026-05-22T00:17:58.0Z |224.92224  |-10.80090  |15.7 |r   |
25010D  |CCD |Y82 |2026-05-22T00:18:13.0Z |224.92268  |-10.80150  |15.9 |r   |
25010D  |CCD |Y82 |2026-05-22T00:18:28.0Z |224.92304  |-10.80227  |16.2 |r   |
25010D  |CCD |Y82 |2026-05-22T00:18:43.0Z |224.92347  |-10.80352  |16.1 |r   |
25010D  |CCD |Y82 |2026-05-22T00:18:58.0Z |224.92411  |-10.80415  |16.0 |r   |
25010D  |CCD |Y82 |2026-05-22T00:19:13.0Z |224.92453  |-10.80466  |16.3 |r   |
25010D  |CCD |Y82 |2026-05-22T00:19:28.0Z |224.92475  |-10.80499  |16.5 |r   |
25010D  |CCD |Y82 |2026-05-22T00:19:43.0Z |224.92523  |-10.80615  |16.2 |r   |
# observatory
! mpcCode 970
! name Chelmsford, England, UK
# observers
! name N. James
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CMO |970 |2026-05-12T21:58:23Z   |176.36563  |28.95304   |15.2 |G   |
25010D  |CMO |970 |2026-05-12T22:01:47Z   |176.37644  |28.94155   |16.0 |G   |
25010D  |CMO |970 |2026-05-12T22:05:35Z   |176.38904  |28.92832   |16.1 |G   |
25010D  |CMO |970 |2026-05-12T22:09:01Z   |176.40052  |28.91637   |15.7 |G   |
# observatory
! mpcCode 718
! name Tooele, Utah, USA
# observers
! name P. Wiggins
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CCD |718 |2026-05-19T07:18:35.712Z|212.0068333|1.0888333  |15.9 |    |
25010D  |CCD |718 |2026-05-19T07:20:30.624Z|212.0091667|1.0830833  |16.1 |    |
25010D  |CCD |718 |2026-05-19T07:22:24.672Z|212.0114583|1.0772778  |15.7 |    |
25010D  |CCD |718 |2026-05-19T07:24:18.720Z|212.0136667|1.0716111  |16.1 |    |
25010D  |CCD |718 |2026-05-19T07:28:35.328Z|212.0189167|1.0586111  |16.1 |    |
25010D  |CCD |718 |2026-05-19T07:30:30.240Z|212.0212083|1.0529444  |15.9 |    |
25010D  |CCD |718 |2026-05-19T07:32:24.288Z|212.0234583|1.0472222  |15.8 |    |
# observatory
! mpcCode K19
! name PASTIS Observatory, Banon, France
# observers
! name C. Demeautis
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CMO |K19 |2026-07-23T20:50:50.496Z|198.1032083|-2.3636389 |17.4 |G   |
25010D  |CMO |K19 |2026-07-23T20:56:05.856Z|198.1192917|-2.3858056 |16.2 |G   |
25010D  |CMO |K19 |2026-07-23T21:01:21.216Z|198.1356250|-2.4084444 |16.7 |G   |
# observatory
! mpcCode Y05
! name SONEAR Wykrota-CEAMIG, Serra da Piedade, Brazil
# observers
! name C. Jacques
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CMO |Y05 |2026-07-26T23:40:46.27Z|221.240650 |-23.344581 |16.9 |V   |
25010D  |CMO |Y05 |2026-07-26T23:51:28.23Z|221.277924 |-23.392323 |16.6 |V   |
25010D  |CMO |Y05 |2026-07-27T00:02:00.58Z|221.315862 |-23.438959 |16.6 |V   |
25010D  |CMO |Y05 |2026-07-28T23:01:06.96Z|247.161226 |-38.501652 |16.5 |V   |
25010D  |CMO |Y05 |2026-07-28T23:05:07.75Z|247.188253 |-38.520874 |16.5 |V   |
25010D  |CMO |Y05 |2026-07-28T23:09:01.45Z|247.214516 |-38.539477 |16.7 |V   |
25010D  |CMO |Y05 |2026-07-28T23:13:09.48Z|247.242376 |-38.558869 |16.6 |V   |
25010D  |CMO |Y05 |2026-07-28T23:17:10.48Z|247.269647 |-38.577601 |16.6 |V   |
25010D  |CMO |Y05 |2026-07-28T23:21:04.30Z|247.296054 |-38.595636 |16.7 |V   |
25010D  |CMO |Y05 |2026-07-28T23:24:58.17Z|247.322525 |-38.613464 |16.6 |V   |
25010D  |CMO |Y05 |2026-07-28T23:28:59.16Z|247.349912 |-38.631648 |16.5 |V   |
25010D  |CMO |Y05 |2026-07-28T23:32:53.07Z|247.376663 |-38.649156 |16.5 |V   |
25010D  |CMO |Y05 |2026-07-28T23:36:47.01Z|247.403192 |-38.666444 |16.9 |V   |
25010D  |CMO |Y05 |2026-07-28T23:40:40.95Z|247.430102 |-38.683559 |16.6 |V   |
25010D  |CMO |Y05 |2026-07-28T23:44:27.69Z|247.456124 |-38.700050 |16.4 |V   |
25010D  |CMO |Y05 |2026-07-29T23:29:32.59Z|268.184773 |-44.373226 |16.3 |V   |
25010D  |CMO |Y05 |2026-07-29T23:33:33.16Z|268.227102 |-44.386928 |16.1 |V   |
25010D  |CMO |Y05 |2026-07-29T23:37:33.62Z|268.269250 |-44.400329 |15.8 |V   |
25010D  |CMO |Y05 |2026-07-31T23:47:25.60Z|322.516042 |-39.800797 |15.8 |V   |
25010D  |CMO |Y05 |2026-07-31T23:54:30.97Z|322.617197 |-39.775191 |15.6 |V   |
25010D  |CMO |Y05 |2026-08-01T00:02:34.52Z|322.730750 |-39.745626 |15.9 |V   |
# observatory
! mpcCode M21
! name Schiaparelli Southern Observatory, Hakos, Namibia
# observers
! name A. Aletti
! name F. Bellini
! name L. Buzzi
! name G. Galli
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CMO |M21 |2026-07-27T18:25:59.7Z |230.002965 |-29.427262 |15.7 |G   |
25010D  |CMO |M21 |2026-07-27T18:34:42.2Z |230.037902 |-29.472014 |16.0 |G   |
25010D  |CMO |M21 |2026-07-27T18:43:24.5Z |230.073113 |-29.516118 |15.8 |G   |
# observatory
! mpcCode Q62
! name iTelescope Observatory, Siding Spring, NSW, Australia
# observers
! name Z. Wang
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CMO |Q62 |2026-07-29T13:49:35.9Z |258.04847  |-42.04497  |15.5 |G   |
25010D  |CMO |Q62 |2026-07-29T13:53:21.8Z |258.08950  |-42.05257  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-29T13:57:02.1Z |258.12965  |-42.05984  |15.8 |G   |
25010D  |CMO |Q62 |2026-07-29T14:00:25.4Z |258.16705  |-42.06636  |15.6 |G   |
25010D  |CMO |Q62 |2026-07-29T14:03:59.9Z |258.20662  |-42.07326  |15.7 |G   |
25010D  |CMO |Q62 |2026-07-29T14:07:46.7Z |258.24889  |-42.08040  |15.6 |G   |
25010D  |CMO |Q62 |2026-07-29T14:11:39.0Z |258.29241  |-42.08746  |15.6 |G   |
25010D  |CMO |Q62 |2026-07-29T14:15:41.9Z |258.33830  |-42.09480  |15.5 |G   |
25010D  |CMO |Q62 |2026-07-30T11:29:51.8Z |280.65320  |-45.56757  |15.4 |G   |
25010D  |CMO |Q62 |2026-07-30T11:33:48.0Z |280.70312  |-45.57355  |15.1 |G   |
25010D  |CMO |Q62 |2026-07-30T11:37:44.1Z |280.75313  |-45.57934  |15.5 |G   |
25010D  |CMO |Q62 |2026-07-30T11:41:34.4Z |280.80173  |-45.58470  |15.3 |G   |
25010D  |CMO |Q62 |2026-07-30T11:45:24.7Z |280.85040  |-45.58983  |15.4 |G   |
25010D  |CMO |Q62 |2026-07-30T11:57:47.3Z |281.00678  |-45.60492  |15.4 |G   |
25010D  |CMO |Q62 |2026-07-30T15:52:59.9Z |284.17578  |-45.47782  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-30T15:57:14.2Z |284.24007  |-45.46910  |15.6 |G   |
25010D  |CMO |Q62 |2026-07-30T15:59:29.8Z |284.27442  |-45.46433  |14.9 |G   |
25010D  |CMO |Q62 |2026-07-30T16:05:31.4Z |284.36677  |-45.45146  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-30T16:13:43.2Z |284.49335  |-45.43338  |15.1 |G   |
25010D  |CMO |Q62 |2026-07-31T10:56:23.8Z |308.13712  |-43.55258  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-31T10:59:33.9Z |308.18452  |-43.54732  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-31T11:02:44.0Z |308.23204  |-43.54199  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-31T11:05:54.2Z |308.27890  |-43.53650  |15.1 |G   |
25010D  |CMO |Q62 |2026-07-31T11:09:04.5Z |308.32560  |-43.53085  |15.3 |G   |
25010D  |CMO |Q62 |2026-07-31T11:12:15.0Z |308.37255  |-43.52512  |15.1 |G   |
25010D  |CMO |Q62 |2026-07-31T11:15:15.7Z |308.41680  |-43.51956  |15.4 |G   |
25010D  |CMO |Q62 |2026-07-31T15:55:02.3Z |312.15858  |-42.44574  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-31T15:58:32.5Z |312.20535  |-42.42502  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-31T16:02:02.3Z |312.25221  |-42.40414  |15.1 |G   |
25010D  |CMO |Q62 |2026-07-31T16:05:32.0Z |312.29917  |-42.38315  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-31T16:09:01.9Z |312.34636  |-42.36195  |15.0 |G   |
25010D  |CMO |Q62 |2026-07-31T16:12:31.8Z |312.39367  |-42.34055  |15.2 |G   |
25010D  |CMO |Q62 |2026-07-31T16:15:18.7Z |312.43131  |-42.32343  |15.0 |G   |
25010D  |CMO |Q62 |2026-08-01T11:42:01.4Z |334.14291  |-34.51825  |15.6 |G   |
25010D  |CMO |Q62 |2026-08-01T11:43:22.2Z |334.16020  |-34.51032  |15.4 |G   |
25010D  |CMO |Q62 |2026-08-01T11:45:16.3Z |334.18442  |-34.49908  |15.7 |G   |
25010D  |CMO |Q62 |2026-08-01T11:47:38.9Z |334.21471  |-34.48508  |15.3 |G   |
25010D  |CMO |Q62 |2026-08-01T11:50:15.9Z |334.24793  |-34.46952  |14.9 |G   |
25010D  |CMO |Q62 |2026-08-01T11:51:51.1Z |334.26792  |-34.46011  |15.1 |G   |
25010D  |CMO |Q62 |2026-08-01T11:54:52.1Z |334.30578  |-34.44220  |16.1 |G   |
25010D  |CMO |Q62 |2026-08-01T11:56:08.3Z |334.32170  |-34.43453  |15.5 |G   |
25010D  |CMO |Q62 |2026-08-01T11:58:07.4Z |334.34656  |-34.42263  |15.7 |G   |
25010D  |CMO |Q62 |2026-08-01T12:00:20.7Z |334.37420  |-34.40929  |15.3 |G   |
25010D  |CMO |Q62 |2026-08-01T12:01:27.2Z |334.38795  |-34.40263  |15.7 |G   |
